"SourceArchive","MediaType","Sequence","OriginalEntryPath","NewFileName","NewRelativePath","WebsiteUrl","SizeBytes","SHA256"
"Review 2.0.zip","video","014","Review 2.0/StorySaver.net-shopxzetio_-Video-1789306651129.mp4","review-2-video-014.mp4","public/assets/reviews/review-2/videos/review-2-video-014.mp4","/assets/reviews/review-2/videos/review-2-video-014.mp4","258755","99D0E57EC72524BD763B13D29F85C96FDA3D0FD43D057F815EBFAD31D13AC7C1"
"Review 2.0.zip","video","015","Review 2.0/StorySaver.net-shopxzetio_-Video-1789306671651.mp4","review-2-video-015.mp4","public/assets/reviews/review-2/videos/review-2-video-015.mp4","/assets/reviews/review-2/videos/review-2-video-015.mp4","259523","E0F86C575027C2D9074C004DD0A009DB97138C813D7DAAE486323AFDCD41BA78"
"Review 2.0.zip","video","016","Review 2.0/StorySaver.net-shopxzetio_-Video-1789306675954.mp4","review-2-video-016.mp4","public/assets/reviews/review-2/videos/review-2-video-016.mp4","/assets/reviews/review-2/videos/review-2-video-016.mp4","567240","0ECA325A8BAE36A25E43E250081D09FEB0352E7C3E3DB8E0FE061A35DC8680E4"
"Review 2.0.zip","video","017","Review 2.0/StorySaver.net-shopxzetio_-Video-1789306680190.mp4","review-2-video-017.mp4","public/assets/reviews/review-2/videos/review-2-video-017.mp4","/assets/reviews/review-2/videos/review-2-video-017.mp4","377845","D842282D4C14C8357582315AC6C84EA0849D4BB7AF06DA6AA9320BD28D8041EA"
"Review 2.0.zip","video","018","Review 2.0/StorySaver.net-shopxzetio_-Video-1789306684756.mp4","review-2-video-018.mp4","public/assets/reviews/review-2/videos/review-2-video-018.mp4","/assets/reviews/review-2/videos/review-2-video-018.mp4","712207","3D7789FF1F981199AB93DA2DB4AD07B0F357C3BDF693FAD78FDE8528F5225688"
"Review 2.0.zip","video","019","Review 2.0/StorySaver.net-shopxzetio_-Video-1789306689012.mp4","review-2-video-019.mp4","public/assets/reviews/review-2/videos/review-2-video-019.mp4","/assets/reviews/review-2/videos/review-2-video-019.mp4","469372","019E5790DD6254B6AAA8AAC89F1EDD9BBC18689971B37F4AD51A54572ECB34CB"
"Review 2.0.zip","video","020","Review 2.0/StorySaver.net-shopxzetio_-Video-1789306699283.mp4","review-2-video-020.mp4","public/assets/reviews/review-2/videos/review-2-video-020.mp4","/assets/reviews/review-2/videos/review-2-video-020.mp4","254264","FB1A1E52C5E62C90C61E0790D0F731AF52CA8E09BCEA6454E14B7D01460CC716"
"Review 2.0.zip","video","021","Review 2.0/StorySaver.net-shopxzetio_-Video-1789306754207.mp4","review-2-video-021.mp4","public/assets/reviews/review-2/videos/review-2-video-021.mp4","/assets/reviews/review-2/videos/review-2-video-021.mp4","319671","7D33D444506C868E8EE2828CBCFD111F6436306F1D3FCC32F0CDFAAF677709E3"
"Review 2.0.zip","video","022","Review 2.0/StorySaver.net-shopxzetio_-Video-1789306758228.mp4","review-2-video-022.mp4","public/assets/reviews/review-2/videos/review-2-video-022.mp4","/assets/reviews/review-2/videos/review-2-video-022.mp4","514299","832739D1B20EDDBF132766D247A26009EAD6A0575B69198AB1DB7CED1F855AFD"
"Review 2.0.zip","video","023","Review 2.0/StorySaver.net-shopxzetio_-Video-1789306764941.mp4","review-2-video-023.mp4","public/assets/reviews/review-2/videos/review-2-video-023.mp4","/assets/reviews/review-2/videos/review-2-video-023.mp4","394341","6C67432414E027E6CB4999A9A6FFD6F9A0B73A14E845A2E9FCB1E706EC4D32D8"
"Review 2.0.zip","video","024","Review 2.0/StorySaver.net-shopxzetio_-Video-1789306774325.mp4","review-2-video-024.mp4","public/assets/reviews/review-2/videos/review-2-video-024.mp4","/assets/reviews/review-2/videos/review-2-video-024.mp4","354502","29AFA419B6A476DA25F076866E4BBA5E966854FF5428FDC84A353216A9A0ACDD"
"Review 2.0.zip","video","025","Review 2.0/StorySaver.net-shopxzetio_-Video-1789306778171.mp4","review-2-video-025.mp4","public/assets/reviews/review-2/videos/review-2-video-025.mp4","/assets/reviews/review-2/videos/review-2-video-025.mp4","332014","1925293076B532A05C69E3D0535DECB0F410C74349335237755D32CB5B9E1953"
"Review 2.0.zip","video","026","Review 2.0/StorySaver.net-shopxzetio_-Video-1789306781828.mp4","review-2-video-026.mp4","public/assets/reviews/review-2/videos/review-2-video-026.mp4","/assets/reviews/review-2/videos/review-2-video-026.mp4","3136919","58F9198D68072B90DDF2266458A3EED104033F5CED09799E39194A30BC489593"
"Review 2.0.zip","video","027","Review 2.0/StorySaver.net-shopxzetio_-Video-1789306839579.mp4","review-2-video-027.mp4","public/assets/reviews/review-2/videos/review-2-video-027.mp4","/assets/reviews/review-2/videos/review-2-video-027.mp4","253462","35D53E4906A4626BCC35E38190786A6B34FBAE2FCE566E4F13F8B800864F6DC8"
"Review 2.0.zip","video","028","Review 2.0/StorySaver.net-shopxzetio_-Video-1789306843589.mp4","review-2-video-028.mp4","public/assets/reviews/review-2/videos/review-2-video-028.mp4","/assets/reviews/review-2/videos/review-2-video-028.mp4","694247","7293F8E8BF037C7939F582F98579AB2413409854AA27978E096966B03453044C"
